Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
8.7,11769.95225,11586.10443,13706.34251,13706.34251,88324.97783,92590.13027,10250.22622,11573.76628,36340.88125,42977.00384
8.8,11790.64703,11596.6017,13734.75555,13734.75555,88670.58946,92912.08045,10271.57524,11614.01006,36207.29343,43039.79129
8.9,11810.81694,11606.7176,13760.66558,13760.66558,89016.90749,93230.59092,10293.85698,11653.82387,36074.79078,43101.7939
9,11830.48106,11616.47452,13784.18065,13784.18065,89363.58835,93545.55971,10317.0587,11693.19496,35943.50472,43163.02148
9.1,11849.65734,11625.89375,13805.40472,13805.40472,89710.30054,93856.88799,10341.16552,11732.111,35813.56314,43223.48371
9.2,11868.36265,11634.99551,13824.43788,13824.43788,90056.72446,94164.48017,10366.16057,11770.56002,35685.09032,43283.19016
9.3,11886.61287,11643.79903,13841.37643,13841.37643,90402.5522,94468.24404,10392.02504,11808.5305,35558.20682,43342.15029
9.4,11904.42292,11652.3225,13856.31308,13856.31308,90747.48733,94768.0908,10418.73838,11846.01135,35433.02942,43400.37341
9.5,11921.8068,11660.58319,13869.3371,13869.3371,91091.2448,95063.93521,10446.27833,11882.9919,35309.67101,43457.86874
9.6,11938.77764,11668.59747,13880.53442,13880.53442,91433.55068,95355.69562,10474.6211,11919.46195,35188.24053,43514.64538
9.7,11955.34776,11676.38079,13889.98778,13889.98778,91774.14201,95643.29405,10503.74147,11955.41176,35068.84289,43570.71231
9.8,11971.52872,11683.94779,13897.77685,13897.77685,92112.76664,95926.65627,10533.61291,11990.83203,34951.57896,43626.07841
9.9,11987.33133,11691.31228,13903.97837,13903.97837,92449.18304,96205.71182,10564.20767,12025.71398,34836.54547,43680.75243
10,12002.76572,11698.4873,13908.66624,13908.66624,92783.16011,96480.39407,10595.49693,12060.04926,34723.83501,43734.74302
10.1,12017.84136,11705.48512,13911.91163,13911.91163,93114.47704,96750.64024,10627.45089,12093.83003,34613.53597,43788.05874
